#category	tibetan name	english name	sanskrit name
TENGYUR_00	TengyurCat.xlsx
TENGYUR_01	BSTOD_TSOGS
TENGYUR_02	RGYUD
TENGYUR_03	SHES_PHYIN
TENGYUR_04	DBU_MA
TENGYUR_05	MDO_GREL
TENGYUR_06	SEMS_TZAM
TENGYUR_07	MNGON_PA
TENGYUR_08	DUL_BA
TENGYUR_09	SKYES_RABS
TENGYUR_10	SPRING_YIG
TENGYUR_11	TSAD_MA
TENGYUR_12	SGRA_MDO
TENGYUR_13	GSO_BA_RIG_PA
TENGYUR_14	BZO_RIG_PA
TENGYUR_15	LUGS_KYI_BSTAN_BCOS
TENGYUR_16	SNA_TSOGS
KANGYUR	00	KANGYUR CATALOG.xlsx
KANGYUR	01	DUL BA	Vowed Morality (Vinaya)
KANGYUR	02	BUM	Perfection of Wisdom in 100,000 Lines (Shatasahasrika Prajna Paramita)
KANGYUR	03	NYI KHRI (Perfection of Wisdom in 25,000 Lines (Pancha Vinshati Sahasrika Prajna Paramita)
KANGYUR	04	BRGYAD STONG	The Perfection of Wisdom in 8,000 Lines (Ashta Sahasrika Prajna Paramita)
KANGYUR	05	KHRI BRGYAD STONG	The Perfection of Wisdom in 18,000 Lines (Ashtadasha Sahasrika Prajna Paramita)
KANGYUR	06	KHRI PA	The Perfection of Wisdom in 10,000 Lines (Dasha Sahasrika Prajna Paramita)
KANGYUR	07	SHER PHYIN SNA TSOGS	Other Teachings on the Perfection of Wisdom
KANGYUR	08	DKON BRTZEGS	Pile of Jewels (Ratna Kuta)
KANGYUR	09	PHAL CHEN	The Majority (Avatansaka)
KANGYUR	10	MDO MANG	Collection of Sutras (Sutra)
KANGYUR	11	MYANG 'DAS	Nirvana (Nirvana)
KANGYUR	12	RGYUD	Secret Teachings (Tantra)
KANGYUR	13	DKAR CHAG	Native Catalog to the Kangyur
